field,Crop,year,TDM,Grain,TOC,IOM,HUM,POC
1,cleared,1982,,,63.77,12.23,30.06,21.48
1,f,1983,,,NA,NA,NA,NA
1,s,1984,3.82,1.53,54.13,11.38,28.28,14.47
1,w,1985,7.72,2.86,NA,NA,NA,NA
1,w,1986,6.35,2.35,59.16,11.76,31.36,16.04
1,w,1987,12.03,4.45,NA,NA,NA,NA
1,w,1988,6.89,2.55,52.14,11.51,29.99,10.64
1,w,1989,5.91,2.19,NA,NA,NA,NA
1,w,1990,4.36,1.61,NA,NA,NA,NA
1,w,1991,4.5,1.67,NA,NA,NA,NA
1,w,1992,5.43,2.01,NA,NA,NA,NA
1,f,1993,,,NA,NA,NA,NA
1,w,1994,8.81,3.26,52.09,13.63,29.34,9.13
1,s1,1995,0.56,0.22,NA,NA,NA,NA
1,s2,1995,4.38,1.75,NA,NA,NA,NA
1,w,1996,2.6,0.96,NA,NA,NA,NA
1,s,1997,9.64,3.86,NA,NA,NA,NA
1,w,1998,4.76,1.76,NA,NA,NA,NA
1,s,1999,2.31,0.92,NA,NA,NA,NA
1,,2000,NA,NA,45.26,12.28,27.27,5.72
2,cleared,1982,,,63.09,11.6,26.47,25.02
2,f,1983,,,NA,NA,NA,NA
2,s,1984,2.43,0.97,62.55,11.87,31.07,19.61
2,w,1985,8,2.96,NA,NA,NA,NA
2,w,1986,7.43,2.75,60.07,13.07,28.59,18.41
2,w,1987,11.73,4.34,NA,NA,NA,NA
2,w,1988,6.65,2.46,57.94,15.03,29.51,13.4
2,w,1989,6.2,2.29,NA,NA,NA,NA
2,w,1990,4.36,1.61,NA,NA,NA,NA
2,w,1991,4.34,1.61,NA,NA,NA,NA
2,w,1992,3.73,1.38,NA,NA,NA,NA
2,f,1993,,,NA,NA,NA,NA
2,w,1994,7.27,2.69,54.95,14.09,31.27,9.58
2,s1,1995,0.08,0.03,NA,NA,NA,NA
2,s2,1995,5.63,2.25,NA,NA,NA,NA
2,w,1996,2.62,0.97,NA,NA,NA,NA
2,s,1997,7.98,3.19,NA,NA,NA,NA
2,w,1998,5.41,2,NA,NA,NA,NA
2,s,1999,1.59,0.64,NA,NA,NA,NA
2,,2000,NA,NA,50.85,12.99,29.33,8.54
3,cleared,1982,,,65.89,10.05,32.81,23.03
3,f,1983,,,NA,NA,NA,NA
3,s,1984,2.37,0.95,54.1,7.79,32.75,13.55
3,w,1985,4.45,1.65,NA,NA,NA,NA
3,w,1986,6.05,2.24,61.16,8.98,29.91,14.91
3,w,1987,8.82,3.26,NA,NA,NA,NA
3,w,1988,6.32,2.34,47.7,7.93,29.71,10.07
