field,Crop,year,TDM,Grain,logTDM,logGrain,TOC,IOM,HUM,POC
1,w,1979,3.75,1.54,1.32175584,0.431782416,39.2,4.04,26.97,8.19
1,w,1980,1.18,0.55,0.165514438,-0.597837001,NA,NA,NA,NA
1,w,1981,3.47,1.76,1.244154594,0.565313809,NA,NA,NA,NA
1,w,1982,1.05,0.47,0.048790164,-0.755022584,NA,NA,NA,NA
1,w,1983,4.21,1.8,1.437462648,0.587786665,NA,NA,NA,NA
1,w,1984,3.11,1.33,1.134622726,0.285178942,NA,NA,NA,NA
1,w,1985,2.58,1.06,0.947789399,0.058268908,35.8,4.09,25.1,6.61
1,w,1986,2.97,1.16,1.088561953,0.148420005,NA,NA,NA,NA
1,w,1987,1.72,0.65,0.542324291,-0.430782916,NA,NA,NA,NA
1,w,1988,1.19,NA,0.173953307,NA,NA,NA,NA,NA
1,w,1989,2.69,NA,0.989541194,NA,NA,NA,NA,NA
1,w,1990,2.720930233,1.17,1.000973819,0.157003749,NA,NA,NA,NA
1,w,1991,3.87,2.23,1.353254507,0.802001585,NA,NA,NA,NA
1,w,1992,2.627906977,1.13,0.966187703,0.122217633,NA,NA,NA,NA
1,w,1993,1.255813953,0.54,0.227783931,-0.616186139,NA,NA,NA,NA
1,w,1994,1.372093023,0.59,0.316337328,-0.527632742,NA,NA,NA,NA
1,w,1995,2.093023256,0.9,0.738609555,-0.105360516,NA,NA,NA,NA
1,w,1996,1.76744186,0.76,0.569533225,-0.274436846,NA,NA,NA,NA
1,f,1997,NA,NA,NA,NA,35.9,4.06,25.21,6.63
2,w,1979,8.05,3.15,2.085672091,1.147402453,38.6,4.1,27.41,7.09
2,f,1980,NA,NA,NA,NA,NA,NA,NA,NA
2,w,1981,5.11,2.63,1.631199404,0.966983846,NA,NA,NA,NA
2,f,1982,NA,NA,NA,NA,NA,NA,NA,NA
2,w,1983,6.71,2.89,1.903598951,1.061256502,NA,NA,NA,NA
2,f,1984,NA,NA,NA,NA,NA,NA,NA,NA
2,w,1985,7.28,3.1,1.985130862,1.131402111,37.6,4.34,27.32,5.93
2,f,1986,NA,NA,NA,NA,NA,NA,NA,NA
2,w,1987,4.86,1.89,1.581038438,0.636576829,NA,NA,NA,NA
2,f,1988,NA,NA,NA,NA,NA,NA,NA,NA
2,w,1989,3.96,NA,1.376244025,NA,NA,NA,NA,NA
2,f,1990,NA,NA,NA,NA,NA,NA,NA,NA
2,w,1991,7.81,3.23,2.055404964,1.172482137,NA,NA,NA,NA
2,f,1992,NA,NA,NA,NA,NA,NA,NA,NA
2,w,1993,3.76744186,1.62,1.32639622,0.482426149,NA,NA,NA,NA
2,f,1994,NA,NA,NA,NA,NA,NA,NA,NA
2,w,1995,4.441860465,1.91,1.491073312,0.647103242,NA,NA,NA,NA
2,f,1996,NA,NA,NA,NA,NA,NA,NA,NA
2,f,1997,NA,NA,NA,NA,33.8,3.91,25.76,4.13
3,w,1979,2.92,1.23,1.071583616,0.207014169,40.5,4.09,28.35,8.06
3,p,1980,4.284,NA,1.454796579,NA,NA,NA,NA,NA
3,w,1981,4.63,2.32,1.532556868,0.841567186,NA,NA,NA,NA
3,p,1982,1.246,NA,0.219692002,NA,NA,NA,NA,NA
3,w,1983,6.88,2.68,1.928618652,0.985816795,NA,NA,NA,NA
3,p,1984,3.745,NA,1.320294506,NA,NA,NA,NA,NA
3,w,1985,8.55,3.5,2.145931283,1.252762968,46.6,4.29,32.46,9.86
3,p,1986,4.111,NA,1.413716903,NA,NA,NA,NA,NA
3,w,1987,6.51,2.45,1.873339456,0.896088025,NA,NA,NA,NA
3,p,1988,3.604,NA,1.2821359,NA,NA,NA,NA,NA
3,w,1989,5.78,NA,1.754403683,NA,NA,NA,NA,NA
3,p,1990,3.313,NA,1.197998393,NA,NA,NA,NA,NA
3,w,1991,6.31,3.2,1.842135677,1.16315081,NA,NA,NA,NA
3,p,1992,4.802,NA,1.56904291,NA,NA,NA,NA,NA
3,w,1993,4.256,1.83,1.448286037,0.604315967,NA,NA,NA,NA
3,p,1994,2.085,NA,0.734965958,NA,NA,NA,NA,NA
3,w,1995,3.233,1.39,1.173273817,0.329303747,NA,NA,NA,NA
3,p,1996,4.109,NA,1.413077227,NA,NA,NA,NA,NA
3,f,1997,NA,NA,NA,NA,43.9,4.04,31.66,8.2
